EST,DTO,MUN,SECC,01/10/2007,01/11/2007,01/12/2007,01/01/2008,01/02/2008,01/03/2008,01/04/2008,01/05/2008,01/06/2008,01/07/2008,01/08/2008,01/09/2008,01/10/2008,01/11/2008,01/12/2008,01/01/2009,01/02/2009,01/03/2009,01/04/2009,01/05/2009,01/06/2009,01/07/2009,01/08/2009,01/09/2009,01/10/2009,01/11/2009,01/12/2009,01/01/2010,01/02/2010,01/03/2010,01/04/2010,01/05/2010,01/06/2010,01/07/2010,01/08/2010,01/09/2010,01/10/2010,01/11/2010,01/12/2010,01/01/2011,01/02/2011,01/03/2011,01/04/2011,01/05/2011,01/06/2011,01/07/2011,01/08/2011,01/09/2011,01/10/2011,01/11/2011,01/12/2011,01/01/2012,01/02/2012,01/03/2012,01/04/2012,01/05/2012,01/06/2012,01/07/2012,01/08/2012,01/09/2012,01/10/2012,01/11/2012,01/12/2012,01/01/2013,01/02/2013,01/03/2013,01/04/2013,01/05/2013,01/06/2013,01/07/2013,01/08/2013,01/09/2013,01/10/2013,01/11/2013,01/12/2013,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019
1,2,1,318,3622,3736,3804,3890,4002,4123,4234,4357,4465,4606,4740,4876,4483,4721,5160,5371,5636,5837,5846,5846,5846,5804,5892,6021,6139,6255,6339,6238,6293,6747,6742,6736,6730,6666,6869,6978,7087,7168,7420,7359,7454,7588,7862,8010,8152,8272,8382,8541,8665,8513,8668,8965,9215,9504,9599,9612,9612,9518,9708,9881,10019,10188,10292,10313,10500,10672,10813,10799,10806,10714,10947,11078,11195,11339,11365,11454,11454,11637,11939,12145,12252,12416,12565,12710,12369,12514,12993,13182,13337,13524,13516,13516,13414,13538,13733,13877,13993,14128,14128,14332,14509,14497,14478,14474,14102,14319,14507,14637,14809,14970,15110,15225,15402,15671,15671,15798,15864,15994,16070,16219,16388,16435,16544,16525,16833,16891,16889,16889,16889,16928,16982,17097,17230,17314,17356,17465,17518,17500,17484,17471,17098,17383,17567,17718,17829,17830,17860
1,3,1,325,3620,3690,3823,3906,4035,4145,4257,4369,4467,4615,4713,4836,4898,4755,4857,5238,5528,5703,5714,5714,5714,5688,5781,5883,5965,6052,6111,6189,6211,6474,6477,6476,6470,6423,6588,6719,6837,6940,7074,6952,7101,7310,7499,7666,7787,7900,7990,8145,8257,8400,8424,8512,8757,9060,9186,9185,9185,9097,9190,9352,9486,9613,9728,9772,9958,10176,10249,10239,10244,10197,10403,10521,10660,10808,10790,10815,10815,11054,11378,11591,11726,11850,11951,12102,12238,12179,12481,12716,12899,13100,13098,13098,13038,13154,13453,13648,13779,13974,13974,14238,14405,14399,14377,14364,14052,14292,14512,14706,14925,15100,15210,15331,15479,15822,15822,15982,16131,16252,16383,16616,16815,16936,17068,17110,17539,17627,17637,17641,17641,17683,17821,18035,18270,18422,18527,18714,18825,18814,18785,18764,18588,19051,19290,19528,19732,19757,19869
2,3,1,126,8473,8541,8619,8718,8792,8875,8970,9111,9205,9327,9445,9517,9581,9657,9615,9870,9924,10083,10109,10109,10109,10034,10020,10110,10148,10219,10307,10405,10491,10570,10549,10539,10527,10350,10491,10612,10680,10794,10835,10552,10613,10685,10842,10982,11090,11208,11341,11539,11620,11714,11781,11864,11930,12023,12170,12169,12169,12109,12078,12147,12200,12410,12460,12443,12547,12664,12741,12731,12726,12393,12685,12826,12911,12942,12916,12506,12506,12642,12821,12959,13061,13228,13327,13408,13508,13578,13743,13815,13895,14016,14010,14010,13756,13741,13933,13995,14225,14340,14340,14468,14584,14574,14547,14527,13055,13494,13705,13863,14024,14100,14234,14329,14423,14632,14632,14723,14829,14925,15000,15082,15277,15382,15466,15483,15624,15703,15704,15706,15706,15671,15806,15904,16078,16111,16191,16240,16338,16327,16307,16288,15680,16035,16236,16338,16457,16451,16442
2,4,4,1152,10560,10643,10735,10757,10799,10856,10896,10918,10966,11047,11140,11157,11182,11217,11123,11339,11435,11601,11588,11588,11588,11460,11475,11510,11539,11613,11667,11703,11754,11799,11754,11728,11713,11478,11554,11572,11698,11755,11804,11423,11441,11455,11682,11835,11923,11973,12071,12132,12169,12226,12302,12332,12342,12432,12535,12506,12505,12408,12533,12601,12693,12771,12854,12825,12937,13064,13195,13180,13167,12791,13108,13193,13235,13276,13243,12124,12124,12168,12370,12466,12582,12650,12712,12806,12916,12979,13148,13246,13214,13469,13468,13468,13358,13405,13657,13736,13850,13974,13974,14154,14262,14245,14221,14197,13072,13469,13630,13796,13939,14100,14235,14278,14382,14637,14637,14806,14879,14999,15090,15186,15398,15485,15559,15529,15764,15846,15843,15848,15848,15845,16008,16117,16299,16389,16478,16550,16619,16590,16560,16541,16079,16410,16598,16724,16812,16809,16912
2,4,4,1293,657,667,678,682,689,715,716,727,747,753,756,756,756,761,766,789,806,815,816,816,816,810,808,836,848,870,875,902,1011,1025,1022,1022,1022,1027,1157,1281,1402,1536,1690,1615,1745,1946,2203,2399,2632,2801,3051,3312,3504,3673,3873,4056,4313,4522,4608,4610,4610,4589,4767,5067,5339,5577,5732,5887,6148,6525,6682,6669,6666,6649,7244,7601,7874,8156,8324,8474,8474,8725,9194,9482,9773,10091,10390,10659,10933,11212,11515,11773,12173,12304,12300,12300,12259,12506,13003,13249,13586,13880,13880,14181,14265,14241,14220,14196,14081,14709,14993,15262,15505,15821,16033,16190,16380,16862,16862,17153,17390,17667,17826,17962,18249,18438,18589,18739,19103,19181,19192,19192,19192,19223,19526,19759,20067,20296,20476,20661,20694,20662,20602,20563,20512,21250,21552,21822,22070,22059,22213
2,4,4,1421,171,171,171,171,169,168,169,171,170,171,171,185,210,264,276,410,548,569,570,570,570,562,634,804,991,1198,1372,1491,1595,1609,1608,1605,1604,1607,1767,1980,2140,2316,2511,2457,2634,2874,3165,3429,3700,3904,4141,4409,4612,4801,4987,5199,5454,5644,5727,5729,5729,5678,5814,6003,6206,6385,6501,6613,6777,6953,7049,7040,7025,6974,7287,7457,7564,7738,7832,7963,7963,8107,8367,8533,8682,8800,8965,9138,9300,9476,9635,9811,9944,10085,10088,10088,9997,10128,10460,10642,10832,11052,11052,11260,11317,11309,11294,11283,11266,11647,11864,12077,12283,12459,12632,12728,12905,13400,13400,13655,13967,14363,14544,14718,15027,15160,15282,15487,15872,15928,15935,15937,15937,15991,16241,16698,17020,17297,17506,17733,17774,17723,17687,17656,17661,18386,18764,19036,19298,19343,19533
2,7,1,13,5765,5873,5923,6227,6285,6532,6775,6959,7104,7306,7482,7581,7698,7844,7943,8187,8278,8492,8538,8538,8538,8481,8531,8600,8644,8814,8886,8975,9076,9189,9226,9218,9207,9072,9175,9281,9377,9410,9524,9333,9486,9523,9887,10002,10172,10329,10453,10663,10726,10832,10989,11042,11106,11205,11314,11317,11317,11273,11269,11300,11426,11621,11656,11712,11883,12002,12183,12171,12167,11919,12191,12361,12487,12553,12561,12315,12315,12445,12585,12701,12819,12944,13003,13134,13225,13315,13443,13518,13621,13768,13768,13768,13544,13510,13742,13829,14029,14169,14169,14248,14386,14358,14346,14323,13411,13822,13996,14158,14296,14424,14532,14575,14714,14886,14886,14999,15129,15196,15314,15349,15497,15538,15603,15529,15678,15760,15767,15771,15771,15731,15793,15931,16007,16076,16160,16113,16265,16254,16233,16214,15462,15776,15936,16050,16142,16131,16143
8,6,19,895,2225,2324,2385,2446,2521,2630,2718,2815,2883,3002,3110,3189,3287,3417,3510,3666,3797,3893,3943,3943,3943,3927,3986,4070,4142,4215,4282,4298,4382,4541,4538,4537,4533,4490,4565,4677,4751,4841,4933,4776,4838,4902,4992,5127,5271,5391,5530,5635,5731,5837,5954,6006,6089,6222,6279,6274,6274,6221,6356,6438,6546,6701,6773,6790,6982,7162,7207,7198,7208,7125,7458,7615,7734,7883,7925,7958,7958,8196,8453,8672,8823,9010,9232,9411,9572,9754,9984,10231,10450,10545,10546,10546,10543,10652,11038,11266,11468,11628,11628,11870,11962,11963,11959,11957,11748,12187,12418,12651,12885,13109,13278,13425,13614,14033,14033,14246,14411,14626,14753,14989,15178,15358,15466,15598,15916,15987,15990,15992,15992,16068,16298,16530,16759,16939,17051,16706,17076,17395,17656,17952,18199,18474,18723,18967,19187,19235,19371
11,4,15,878,7056,7151,7216,7243,7324,7439,7504,7583,7641,7717,7816,7903,7935,8038,8048,8308,8466,8644,8667,8667,8667,8594,8668,8732,8782,8828,8878,8872,8922,8977,9029,9100,9192,9231,9285,9326,9381,9460,9615,9492,9614,9776,9941,10023,10130,10187,10267,10382,10452,10544,10649,10757,10836,11096,11217,11214,11214,11140,11210,11246,11304,11348,11412,11417,11502,11582,11640,11711,11748,11789,11850,11910,11952,11958,11927,11354,11354,11532,11778,12006,12096,12245,12365,12490,12602,12735,12839,12962,13116,13257,13257,13257,13136,13101,13244,13344,13477,13589,13589,12656,12843,12978,13072,13228,13353,13551,13737,13868,14039,14241,14341,14420,14546,14734,14734,14835,14906,14997,15105,15131,15358,15468,15558,15701,15885,16001,16004,16012,16012,15986,16106,16189,16309,16389,16474,15772,15947,16134,16308,16563,16699,16900,17042,17149,17257,17271,17328
15,5,2,58,5630,5964,6025,6153,6306,6417,6510,6630,6738,6853,7007,7084,7127,7309,7428,7723,7810,7960,7999,7999,7999,7956,7950,8034,8147,8260,8315,8394,8458,8531,8675,8801,8869,8960,9048,9115,9155,9142,9359,9359,9409,9582,9763,9765,9742,9586,9352,9644,9913,10021,10141,10212,10298,10440,10573,10579,10579,10490,10574,10723,10840,10948,11054,11089,11189,11292,11354,11477,11576,11661,11771,11879,11936,11991,12053,11795,11795,11905,12101,12312,12378,12472,12541,12670,12790,12866,12999,13188,13236,13520,13526,13526,13329,13293,13593,13657,13888,13982,13982,13372,13605,13749,13826,13922,14025,14113,14285,14420,14540,14656,14766,14903,14963,14929,14929,14907,14780,15182,15289,15349,15487,15555,15683,15594,15911,16019,16045,16046,16046,15951,16022,16070,16120,16160,16177,15211,15444,15694,15873,15976,16062,16200,16309,16408,16468,16426,16446
