"EST","DTO","MUN","SECC","date","est.punt.densidad","est.punt.LNE","cota.inf.LNE","cota.sup.LNE"
"2","7","1","13",2020-01-01,6003.49540800762,16423.5927709307,15730.8621103391,17116.3234315223
"2","7","1","13",2020-02-01,6017.29474341125,16461.3432229218,15768.6125623301,17154.0738835134
"2","7","1","13",2020-03-01,6030.94325591513,16498.6810729672,15805.9504123756,17191.4117335588
"2","7","1","13",2020-04-01,6044.44178130486,16535.608607502,15842.8779469104,17228.3392680937
"2","7","1","13",2020-05-01,6057.79117297213,16572.1281611258,15879.3975005342,17264.8588217175
"2","7","1","13",2020-06-01,6070.99230122432,16608.2421147139,15915.5114541223,17300.9727753055
"2","7","1","13",2020-07-01,6084.04605260236,16643.9528935511,15951.2222329595,17336.6835541428
"2","7","1","13",2020-08-01,6096.95332920708,16679.2629654894,15986.5323048978,17371.993626081
"2","7","1","13",2020-09-01,6109.71504803454,16714.1748391288,16021.4441785372,17406.9054997205
"2","7","1","13",2020-10-01,6122.33214032021,16748.691062024,16055.9604014324,17441.4217226157
"2","7","1","13",2020-11-01,6134.80555089265,16782.8142189158,16090.0835583242,17475.5448795074
"2","7","1","13",2020-12-01,6147.13623753651,16816.5469299885,16123.8162693969,17509.2775905801
"2","7","1","13",2021-01-01,6159.32517036531,16849.8918491543,16157.1611885627,17542.622509746
"2","7","1","13",2021-02-01,6171.37333120403,16882.8516623641,16190.1210017725,17575.5823229558
"2","7","1","13",2021-03-01,6183.28171298177,16915.429085946,16222.6984253544,17608.1597465376
"2","7","1","13",2021-04-01,6195.05131913446,16947.6268649712,16254.8962043796,17640.3575255629
"2","7","1","13",2021-05-01,6206.68316301801,16979.447771649,16286.7171110573,17672.1784322406
"2","7","1","13",2021-06-01,6218.17826733172,17010.8946037488,16318.1639431572,17703.6252643404
"2","7","1","13",2021-07-01,6229.53766355224,17041.9701830523,16349.2395224606,17734.7008436439
"2","7","1","13",2021-08-01,6240.76239137817,17072.6773538334,16379.9466932418,17765.408014425
"2","7","1","13",2021-09-01,6251.85349818524,17103.0189813685,16410.2883207768,17795.7496419601
"2","7","1","13",2021-10-01,6262.81203849221,17132.9979504746,16440.267289883,17825.7286110662
"2","7","1","13",2021-11-01,6273.63907343763,17162.6171640786,16469.886503487,17855.3478246702
"2","7","1","13",2021-12-01,6284.33567026729,17191.8795418145,16499.1488812229,17884.6102024062
"2","7","1","13",2022-01-01,6294.90290183255,17220.7880186516,16528.05735806,17913.5186792432
"2","7","1","13",2022-02-01,6305.3418460995,17249.3455435512,16556.6148829596,17942.0762041428
"2","7","1","13",2022-03-01,6315.65358566898,17277.5550781539,16584.8244175622,17970.2857387455
"2","7","1","13",2022-04-01,6325.83920730742,17305.4195954958,16612.6889349042,17998.1502560874
"2","7","1","13",2022-05-01,6335.89980148847,17332.9420787549,16640.2114181633,18025.6727393465
"2","7","1","13",2022-06-01,6345.83646194548,17360.1255200267,16667.3948594351,18052.8561806183
"2","7","1","13",2022-07-01,6355.65028523468,17386.972919129,16694.2422585374,18079.7035797206
"2","7","1","13",2022-08-01,6365.34237030909,17413.4872824366,16720.756621845,18106.2179430282
"2","7","1","13",2022-09-01,6374.91381810313,17439.6716217446,16746.940961153,18132.4022823363
"2","7","1","13",2022-10-01,6384.36573112772,17465.5289531611,16772.7982925695,18158.2596137527
"2","7","1","13",2022-11-01,6393.69921307607,17491.0622960283,16798.3316354367,18183.79295662
"2","7","1","13",2022-12-01,6402.91536843975,17516.2746718727,16823.5440112811,18209.0053324644
"2","7","1","13",2023-01-01,6412.01530213529,17541.1691033832,16848.4384427916,18233.8997639748
"2","7","1","13",2023-02-01,6421.00011914097,17565.7486134176,16873.017952826,18258.4792740092
"2","7","1","13",2023-03-01,6429.87092414383,17590.016224037,16897.2855634454,18282.7468846287
"2","7","1","13",2023-04-01,6438.6288211968,17613.974955568,16921.2442949764,18306.7056161596
"2","7","1","13",2023-05-01,6447.27491338583,17637.6278256915,16944.8971650999,18330.3584862831
"2","7","1","13",2023-06-01,6455.81030250681,17660.9778485594,16968.2471879678,18353.708509151
"2","7","1","13",2023-07-01,6464.2360887524,17684.0280339377,16991.2973733461,18376.7586945293
"2","7","1","13",2023-08-01,6472.55337040842,17706.7813863759,17014.0507257843,18399.5120469676
"2","7","1","13",2023-09-01,6480.76324355979,17729.2409044026,17036.510243811,18421.9715649942
"2","7","1","13",2023-10-01,6488.8668018059,17751.4095797466,17058.678919155,18444.1402403383
"2","7","1","13",2023-11-01,6496.86513598521,17773.2903965841,17080.5597359924,18466.0210571757
"2","7","1","13",2023-12-01,6504.75933390909,17794.8863308096,17102.155670218,18487.6169914012
"2","7","1","13",2024-01-01,6512.55048010453,17816.2003493333,17123.4696887416,18508.9310099249
"2","7","1","13",2024-02-01,6520.23965556591,17837.2354094007,17144.504748809,18529.9660699923
"2","7","1","13",2024-03-01,6527.82793751531,17857.9944579379,17165.2637973463,18550.7251185295
"2","7","1","13",2024-04-01,6535.31639917158,17878.4804309195,17185.7497703278,18571.2110915111
"2","7","1","13",2024-05-01,6542.70610952778,17898.6962527594,17205.9655921678,18591.4269133511
"2","7","1","13",2024-06-01,6549.99813313695,17918.6448357255,17225.9141751339,18611.3754963171
"2","7","1","13",2024-07-01,6557.19352990601,17938.3290793751,17245.5984187835,18631.0597399667
"2","7","1","13",2024-08-01,6564.29335489779,17957.7518700137,17265.0212094221,18650.4825306053
"2","7","1","13",2024-09-01,6571.29865814075,17976.9160801747,17284.185419583,18669.6467407663
"2","7","1","13",2024-10-01,6578.21048444662,17995.8245681198,17303.0939075282,18688.5552287114
"2","7","1","13",2024-11-01,6585.02987323544,18014.4801773612,17321.7495167696,18707.2108379528
"2","7","1","13",2024-12-01,6591.75785836812,18032.8857362029,17340.1550756113,18725.6163967945
"2","7","1","13",2025-01-01,6598.39546798627,18051.0440573029,17358.3133967113,18743.7747178945
"2","7","1","13",2025-02-01,6604.94372435913,18068.9579372542,17376.2272766626,18761.6885978458
"2","7","1","13",2025-03-01,6611.40364373746,18086.6301561854,17393.8994955938,18779.360816777
"2","7","1","13",2025-04-01,6617.77623621429,18104.0634773794,17411.3328167878,18796.7941379711
"2","7","1","13",2025-05-01,6624.06250559235,18121.260646911,17428.5299863194,18813.9913075027
"2","7","1","13",2025-06-01,6630.26344925799,18138.2243933019,17445.4937327102,18830.9550538935
"2","7","1","13",2025-07-01,6636.38005806149,18154.957427193,17462.2267666014,18847.6880877847
"2","7","1","13",2025-08-01,6642.41331620367,18171.4624410349,17478.7317804433,18864.1931016266
"2","7","1","13",2025-09-01,6648.36420112846,18187.7421087934,17495.0114482017,18880.472769385
"2","7","1","13",2025-10-01,6654.23368342157,18203.7990856721,17511.0684250805,18896.5297462637
"2","7","1","13",2025-11-01,6660.02272671481,18219.6360078516,17526.90534726,18912.3666684432
"2","7","1","13",2025-12-01,6665.73228759619,18235.2554922426,17542.5248316509,18927.9861528342
"2","7","1","13",2026-01-01,6671.36331552542,18250.6601362551,17557.9294756635,18943.3907968468
"2","7","1","13",2026-02-01,6676.9167527549,18265.8525175826,17573.121856991,18958.5831781742
"2","7","1","13",2026-03-01,6682.39353425587,18280.8351939993,17588.1045334076,18973.5658545909
"2","7","1","13",2026-04-01,6687.79458764967,18295.6107031727,17602.8800425811,18988.3413637643
"2","7","1","13",2026-05-01,6693.12083314398,18310.1815624891,17617.4509018975,19002.9122230807
"2","7","1","13",2026-06-01,6698.3731834739,18324.550268892,17631.8196083004,19017.2809294836
"2","7","1","13",2026-07-01,6703.55254384769,18338.7192987341,17645.9886381425,19031.4499593257
"2","7","1","13",2026-08-01,6708.6598118971,18352.6911076412,17659.9604470496,19045.4217682328
"2","7","1","13",2026-09-01,6713.69587763215,18366.4681303887,17673.737469797,19059.1987909803
"2","7","1","13",2026-10-01,6718.6616234002,18380.0527807891,17687.3221201975,19072.7834413807
"2","7","1","13",2026-11-01,6723.55792384919,18393.4474515922,17700.7167910006,19086.1781121838
"2","7","1","13",2026-12-01,6728.38564589499,18406.6545143953,17713.9238538037,19099.3851749869
"2","7","1","13",2027-01-01,6733.14564869266,18419.6763195645,17726.9456589729,19112.4069801561
"2","7","1","13",2027-02-01,6737.83878361151,18432.5151961668,17739.7845355752,19125.2458567585
"2","7","1","13",2027-03-01,6742.46589421391,18445.1734519121,17752.4427913205,19137.9041125037
"2","7","1","13",2027-04-01,6747.02781623768,18457.6533731045,17764.9227125129,19150.3840336962
"2","7","1","13",2027-05-01,6751.5253775819,18469.9572246043,17777.2265640127,19162.6878851959
"2","7","1","13",2027-06-01,6755.95939829617,18482.0872497979,17789.3565892063,19174.8179103896
"2","7","1","13",2027-07-01,6760.33069057303,18494.0456705776,17801.315009986,19186.7763311693
"2","7","1","13",2027-08-01,6764.64005874362,18505.8346873293,17813.1040267377,19198.565347921
"2","7","1","13",2027-09-01,6768.88829927629,18517.456478929,17824.7258183374,19210.1871395207
"2","7","1","13",2027-10-01,6773.07620077824,18528.9132027471,17836.1825421555,19221.6438633388
"2","7","1","13",2027-11-01,6777.20454399989,18540.2069946605,17847.4763340689,19232.9376552521
"2","7","1","13",2027-12-01,6781.2741018421,18551.3399690722,17858.6093084806,19244.0706296638
"2","7","1","13",2028-01-01,6785.28563936592,18562.3142189382,17869.5835583465,19255.0448795298
"2","7","1","13",2028-02-01,6789.23991380497,18573.131815801,17880.4011552093,19265.8624763926
"2","7","1","13",2028-03-01,6793.13767458024,18583.7948098304,17891.0641492388,19276.5254704221
"2","7","1","13",2028-04-01,6796.97966331721,18594.3052298705,17901.5745692789,19287.0358904621
"2","7","1","13",2028-05-01,6800.76661386533,18604.6650834922,17911.9344229006,19297.3957440839
"2","7","1","13",2028-06-01,6804.49925231957,18614.8763570533,17922.1456964617,19307.6070176449
"2","7","1","13",2028-07-01,6808.17829704417,18624.9410157623,17932.2103551707,19317.6716763539
"2","7","1","13",2028-08-01,6811.80445869834,18634.8610037497,17942.1303431581,19327.5916643413
"2","7","1","13",2028-09-01,6815.37844026393,18644.638244143,17951.9075835513,19337.3689047346
"2","7","1","13",2028-10-01,6818.90093707493,18654.2746391477,17961.5439785561,19347.0052997393
"2","7","1","13",2028-11-01,6822.37263684872,18663.7720701329,17971.0414095413,19356.5027307246
"2","7","1","13",2028-12-01,6825.79421971913,18673.1323977215,17980.4017371299,19365.8630583132
"2","7","1","13",2029-01-01,6829.16635827097,18682.3574618848,17989.6268012931,19375.0881224764
"2","7","1","13",2029-02-01,6832.48971757624,18691.4490820413,17998.7184214497,19384.179742633
"2","7","1","13",2029-03-01,6835.76495523177,18700.4090571603,18007.6783965687,19393.1397177519
"2","7","1","13",2029-04-01,6838.99272139829,18709.2391658679,18016.5085052763,19401.9698264596
"2","7","1","13",2029-05-01,6842.17365884081,18717.9411665584,18025.2105059668,19410.67182715
"2","7","1","13",2029-06-01,6845.30840297036,18726.5167975077,18033.7861369161,19419.2474580993
"2","7","1","13",2029-07-01,6848.39758188691,18734.9677769911,18042.2371163995,19427.6984375828
"2","7","1","13",2029-08-01,6851.4418164234,18743.2958034039,18050.5651428122,19436.0264639955
"2","7","1","13",2029-09-01,6854.441720191,18751.5025553846,18058.771894793,19444.2332159762
"2","7","1","13",2029-10-01,6857.39789962526,18759.589691942,18066.8590313503,19452.3203525336
"2","7","1","13",2029-11-01,6860.31095403334,18767.5588525836,18074.828191992,19460.2895131753
"2","7","1","13",2029-12-01,6863.18147564219,18775.4116574481,18082.6809968565,19468.1423180397
"2","7","1","13",2030-01-01,6866.01004964752,18783.1497074388,18090.4190468472,19475.8803680304
"2","7","1","13",2030-02-01,6868.79725426365,18790.7745843602,18098.0439237686,19483.5052449519
"2","7","1","13",2030-03-01,6871.54366077415,18798.2878510568,18105.5571904652,19491.0185116484
"2","7","1","13",2030-04-01,6874.24983358318,18805.691051553,18112.9603909613,19498.4217121446
"2","7","1","13",2030-05-01,6876.9163302675,18812.9857111957,18120.2550506041,19505.7163717874
"2","7","1","13",2030-06-01,6879.54370162915,18820.1733367987,18127.442676207,19512.9039973903
"2","7","1","13",2030-07-01,6882.13249174868,18827.2554167876,18134.5247561959,19519.9860773792
"15","5","2","58",2020-01-01,9802.52644250165,16552.9370167477,15966.1531340228,17139.7208994725
