"EST","DTO","MUN","SECC","date","est.punt","cota.inf","cota.sup"
"2","7","1","13",2020-01-01,16689.2369747899,16140.2628481559,17238.2111014239
"2","7","1","13",2020-02-01,16745.7024037522,16196.2831027296,17295.1217047748
"2","7","1","13",2020-03-01,16802.1678327145,16252.2934963424,17352.0421690865
"2","7","1","13",2020-04-01,16858.6332616768,16308.2940534543,17408.9724698993
"2","7","1","13",2020-05-01,16915.098690639,16364.2847989703,17465.9125823078
"2","7","1","13",2020-06-01,16971.5641196013,16420.2657582348,17522.8624809679
"2","7","1","13",2020-07-01,17028.0295485636,16476.2369570245,17579.8221401028
"2","7","1","13",2020-08-01,17084.4949775259,16532.1984215422,17636.7915335096
"2","7","1","13",2020-09-01,17140.9604064882,16588.1501784105,17693.7706345659
"2","7","1","13",2020-10-01,17197.4258354505,16644.0922546648,17750.7594162361
"2","7","1","13",2020-11-01,17253.8912644127,16700.024677747,17807.7578510785
"2","7","1","13",2020-12-01,17310.356693375,16755.9474754987,17864.7659112514
"2","7","1","13",2021-01-01,17366.8221223373,16811.8606761541,17921.7835685205
"2","7","1","13",2021-02-01,17423.2875512996,16867.7643083339,17978.8107942653
"2","7","1","13",2021-03-01,17479.7529802619,16923.6584010378,18035.8475594859
"2","7","1","13",2021-04-01,17536.2184092242,16979.542983638,18092.8938348103
"2","7","1","13",2021-05-01,17592.6838381864,17035.418085872,18149.9495905009
"2","7","1","13",2021-06-01,17649.1492671487,17091.2837378359,18207.0147964616
"2","7","1","13",2021-07-01,17705.614696111,17147.1399699771,18264.0894222449
"2","7","1","13",2021-08-01,17762.0801250733,17202.9868130876,18321.1734370589
"2","7","1","13",2021-09-01,17818.5455540356,17258.8242982969,18378.2668097743
"2","7","1","13",2021-10-01,17875.0109829979,17314.6524570644,18435.3695089313
"2","7","1","13",2021-11-01,17931.4764119601,17370.4713211733,18492.4815027469
"2","7","1","13",2021-12-01,17987.9418409224,17426.2809227226,18549.6027591222
"2","7","1","13",2022-01-01,18044.4072698847,17482.0812941204,18606.733245649
"2","7","1","13",2022-02-01,18100.872698847,17537.8724680767,18663.8729296173
"2","7","1","13",2022-03-01,18157.3381278093,17593.6544775963,18721.0217780223
"2","7","1","13",2022-04-01,18213.8035567715,17649.4273559716,18778.1797575715
"2","7","1","13",2022-05-01,18270.2689857338,17705.1911367757,18835.346834692
"2","7","1","13",2022-06-01,18326.7344146961,17760.9458538548,18892.5229755375
"2","7","1","13",2022-07-01,18383.1998436584,17816.6915413216,18949.7081459952
"2","7","1","13",2022-08-01,18439.6652726207,17872.4282335479,19006.9023116935
"2","7","1","13",2022-09-01,18496.130701583,17928.1559651576,19064.1054380084
"2","7","1","13",2022-10-01,18552.5961305452,17983.8747710195,19121.317490071
"2","7","1","13",2022-11-01,18609.0615595075,18039.5846862405,19178.5384327746
"2","7","1","13",2022-12-01,18665.5269884698,18095.2857461581,19235.7682307815
"2","7","1","13",2023-01-01,18721.9924174321,18150.9779863341,19293.0068485301
"2","7","1","13",2023-02-01,18778.4578463944,18206.6614425467,19350.254250242
"2","7","1","13",2023-03-01,18834.9232753567,18262.3361507844,19407.5103999289
"2","7","1","13",2023-04-01,18891.3887043189,18318.0021472385,19464.7752613994
"2","7","1","13",2023-05-01,18947.8541332812,18373.6594682962,19522.0487982662
"2","7","1","13",2023-06-01,19004.3195622435,18429.3081505344,19579.3309739526
"2","7","1","13",2023-07-01,19060.7849912058,18484.9482307119,19636.6217516997
"2","7","1","13",2023-08-01,19117.2504201681,18540.5797457633,19693.9210945728
"2","7","1","13",2023-09-01,19173.7158491303,18596.2027327922,19751.2289654685
"2","7","1","13",2023-10-01,19230.1812780926,18651.8172290641,19808.5453271212
"2","7","1","13",2023-11-01,19286.6467070549,18707.4232720001,19865.8701421097
"2","7","1","13",2023-12-01,19343.1121360172,18763.0208991703,19923.2033728641
"2","7","1","13",2024-01-01,19399.5775649795,18818.6101482869,19980.544981672
"2","7","1","13",2024-02-01,19456.0429939418,18874.1910571983,20037.8949306852
"2","7","1","13",2024-03-01,19512.508422904,18929.763663882,20095.2531819261
"2","7","1","13",2024-04-01,19568.9738518663,18985.3280064385,20152.6196972942
"2","7","1","13",2024-05-01,19625.4392808286,19040.8841230851,20209.9944385721
"2","7","1","13",2024-06-01,19681.9047097909,19096.4320521494,20267.3773674324
"2","7","1","13",2024-07-01,19738.3701387532,19151.9718320631,20324.7684454433
"2","7","1","13",2024-08-01,19794.8355677155,19207.503501356,20382.1676340749
"2","7","1","13",2024-09-01,19851.3009966777,19263.0270986497,20439.5748947058
"2","7","1","13",2024-10-01,19907.76642564,19318.5426626518,20496.9901886282
"2","7","1","13",2024-11-01,19964.2318546023,19374.0502321497,20554.4134770549
"2","7","1","13",2024-12-01,20020.6972835646,19429.5498460049,20611.8447211243
"2","7","1","13",2025-01-01,20077.1627125269,19485.0415431468,20669.2838819069
"2","7","1","13",2025-02-01,20133.6281414892,19540.5253625676,20726.7309204107
"2","7","1","13",2025-03-01,20190.0935704514,19596.0013433159,20784.1857975869
"2","7","1","13",2025-04-01,20246.5589994137,19651.4695244916,20841.6484743358
"2","7","1","13",2025-05-01,20303.024428376,19706.9299452399,20899.1189115121
"2","7","1","13",2025-06-01,20359.4898573383,19762.3826447463,20956.5970699302
"2","7","1","13",2025-07-01,20415.9552863006,19817.8276622309,21014.0829103703
"2","7","1","13",2025-08-01,20472.4207152629,19873.2650369428,21071.5763935829
"2","7","1","13",2025-09-01,20528.8861442251,19928.6948081556,21129.0774802946
"2","7","1","13",2025-10-01,20585.3515731874,19984.1170151615,21186.5861312133
"2","7","1","13",2025-11-01,20641.8170021497,20039.5316972666,21244.1023070328
"2","7","1","13",2025-12-01,20698.282431112,20094.9388937856,21301.6259684384
"2","7","1","13",2026-01-01,20754.7478600743,20150.3386440369,21359.1570761116
"2","7","1","13",2026-02-01,20811.2132890365,20205.730987338,21416.6955907351
"2","7","1","13",2026-03-01,20867.6787179988,20261.1159630004,21474.2414729973
"2","7","1","13",2026-04-01,20924.1441469611,20316.4936103248,21531.7946835974
"2","7","1","13",2026-05-01,20980.6095759234,20371.8639685969,21589.3551832499
"2","7","1","13",2026-06-01,21037.0750048857,20427.2270770822,21646.9229326891
"2","7","1","13",2026-07-01,21093.540433848,20482.5829750221,21704.4978926738
"2","7","1","13",2026-08-01,21150.0058628102,20537.9317016292,21762.0800239913
"2","7","1","13",2026-09-01,21206.4712917725,20593.2732960827,21819.6692874624
"2","7","1","13",2026-10-01,21262.9367207348,20648.6077975247,21877.2656439449
"2","7","1","13",2026-11-01,21319.4021496971,20703.9352450557,21934.8690543385
"2","7","1","13",2026-12-01,21375.8675786594,20759.2556777305,21992.4794795882
"2","7","1","13",2027-01-01,21432.3330076217,20814.5691345543,22050.096880689
"2","7","1","13",2027-02-01,21488.7984365839,20869.8756544784,22107.7212186895
"2","7","1","13",2027-03-01,21545.2638655462,20925.1752763969,22165.3524546955
"2","7","1","13",2027-04-01,21601.7292945085,20980.4680391425,22222.9905498745
"2","7","1","13",2027-05-01,21658.1947234708,21035.7539814827,22280.6354654589
"2","7","1","13",2027-06-01,21714.6601524331,21091.0331421165,22338.2871627496
"2","7","1","13",2027-07-01,21771.1255813953,21146.3055596708,22395.9456031199
"2","7","1","13",2027-08-01,21827.5910103576,21201.5712726965,22453.6107480187
"2","7","1","13",2027-09-01,21884.0564393199,21256.8303196656,22511.2825589742
"2","7","1","13",2027-10-01,21940.5218682822,21312.0827389675,22568.9609975969
"2","7","1","13",2027-11-01,21996.9872972445,21367.3285689059,22626.646025583
"2","7","1","13",2027-12-01,22053.4527262068,21422.5678476957,22684.3376047178
"2","7","1","13",2028-01-01,22109.918155169,21477.8006134596,22742.0356968785
"2","7","1","13",2028-02-01,22166.3835841313,21533.0269042252,22799.7402640374
"2","7","1","13",2028-03-01,22222.8490130936,21588.2467579224,22857.4512682648
"2","7","1","13",2028-04-01,22279.3144420559,21643.4602123798,22915.168671732
"2","7","1","13",2028-05-01,22335.7798710182,21698.6673053224,22972.892436714
"2","7","1","13",2028-06-01,22392.2452999805,21753.8680743686,23030.6225255923
"2","7","1","13",2028-07-01,22448.7107289427,21809.0625570278,23088.3589008577
"2","7","1","13",2028-08-01,22505.176157905,21864.2507906973,23146.1015251128
"2","7","1","13",2028-09-01,22561.6415868673,21919.4328126603,23203.8503610743
"2","7","1","13",2028-10-01,22618.1070158296,21974.6086600831,23261.6053715761
"2","7","1","13",2028-11-01,22674.5724447919,22029.7783700127,23319.3665195711
"2","7","1","13",2028-12-01,22731.0378737542,22084.9419793746,23377.1337681337
"2","7","1","13",2029-01-01,22787.5033027164,22140.0995249704,23434.9070804625
"2","7","1","13",2029-02-01,22843.9687316787,22195.2510434757,23492.6864198817
"2","7","1","13",2029-03-01,22900.434160641,22250.396571438,23550.471749844
"2","7","1","13",2029-04-01,22956.8995896033,22305.5361452742,23608.2630339324
"2","7","1","13",2029-05-01,23013.3650185656,22360.6698012692,23666.060235862
"2","7","1","13",2029-06-01,23069.8304475278,22415.7975755736,23723.8633194821
"2","7","1","13",2029-07-01,23126.2958764901,22470.9195042018,23781.6722487785
